player,date,score
Alice,2024-01-01,24500
Bob,2024-01-01,18900
Charlie,2024-01-01,21300
Alice,2024-01-02,23100
Bob,2024-01-02,19800
Charlie,2024-01-02,22500
Alice,2024-01-03,25000
Bob,2024-01-03,20100
Charlie,2024-01-03,23800
Alice,2024-01-04,24200
Bob,2024-01-04,21500
Charlie,2024-01-04,22100
Alice,2024-01-05,24800
Bob,2024-01-05,22300
Charlie,2024-01-05,24000
Diana,2024-01-05,19500
Alice,2024-01-06,23900
Bob,2024-01-06,23100
Charlie,2024-01-06,25000
Diana,2024-01-06,20800
Alice,2024-01-07,24100
Bob,2024-01-07,22800
Charlie,2024-01-07,23500
Diana,2024-01-07,21200
